               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.024385,           0.0055857,                   0,             0.62085,             0.72492,             0.59458,             0.26805,            0.048023,            0.010208,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.023893,           0.0055743,                   0,             0.62087,             0.73139,             0.59814,             0.26348,            0.048213,            0.010355,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.023925,           0.0055258,                   0,             0.69264,             0.68932,             0.61564,             0.27699,             0.04828,            0.010623,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.024098,           0.0054162,                   0,             0.69761,             0.62715,             0.63898,             0.27708,            0.049384,            0.010196,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.023425,           0.0054156,                   0,             0.65532,             0.68285,             0.62289,             0.28049,            0.048947,            0.010801,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.024079,           0.0055523,                   0,             0.69418,             0.67314,             0.63596,             0.28114,            0.048302,            0.010441,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.023308,           0.0054861,                   0,             0.69416,             0.67314,             0.61987,             0.27878,            0.047771,            0.010605,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.023034,           0.0054111,                   0,             0.69056,             0.68285,             0.62373,             0.26923,             0.04876,            0.010386,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.022906,           0.0053389,                   0,             0.69467,             0.69903,             0.62917,             0.26903,            0.048495,            0.010583,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.022945,            0.005394,                   0,             0.68931,             0.68285,             0.63746,             0.28225,            0.048273,            0.010314,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.02277,           0.0053382,                   0,             0.69714,             0.69278,             0.64633,             0.28893,            0.047633,            0.010445,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.022293,            0.005304,                   0,             0.68457,             0.67638,             0.63882,             0.28443,            0.048349,            0.010435,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.022548,           0.0053371,                   0,             0.63424,              0.7127,              0.6433,             0.29087,            0.047626,             0.01051,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.022108,           0.0053165,                   0,             0.65445,             0.68647,             0.61914,             0.28786,            0.048525,            0.010613,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.022761,            0.005341,                   0,             0.67311,             0.68285,             0.60927,              0.2759,            0.048282,            0.010382,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.022349,           0.0052595,                   0,             0.67548,             0.68285,             0.60034,             0.28526,            0.047811,              0.0109,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.021832,           0.0052614,                   0,             0.71175,             0.65372,             0.61898,             0.29082,            0.047922,            0.010717,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.021668,           0.0051811,                   0,             0.70276,             0.68098,              0.6412,             0.29824,            0.047874,            0.010488,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.022402,           0.0053063,                   0,             0.69954,             0.71521,             0.64741,             0.29651,            0.047521,            0.010305,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.021931,           0.0051898,                   0,             0.67862,             0.70386,             0.62377,             0.29116,            0.048147,            0.010243,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.022052,           0.0052595,                   0,             0.66303,              0.7055,             0.64186,             0.29843,            0.047501,            0.010512,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.021718,           0.0051834,                   0,             0.71121,             0.68932,             0.64983,              0.2972,            0.047098,            0.010589,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.021643,           0.0052412,                   0,             0.70143,             0.66667,             0.64219,             0.29453,            0.047708,            0.010718,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.021169,           0.0051272,                   0,              0.6986,              0.7055,             0.66194,             0.30989,            0.046856,            0.010842,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.021055,           0.0052486,                   0,             0.67195,             0.68608,             0.62787,             0.28699,             0.04889,            0.010749,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.021087,           0.0051149,                   0,             0.71504,             0.69256,             0.63178,             0.28532,            0.048617,            0.010879,                   0,            0.005413,            0.005413,            0.005413
                 141,             0.02052,           0.0050899,                   0,             0.70638,             0.69903,               0.665,             0.29842,            0.048105,            0.010907,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.020216,           0.0050499,                   0,             0.69803,             0.68285,             0.63574,             0.28383,            0.048745,            0.011252,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.020354,           0.0050411,                   0,             0.66399,             0.71627,             0.64364,              0.2954,            0.047926,            0.011075,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.020778,           0.0051856,                   0,             0.71172,             0.68713,             0.64031,             0.29199,            0.047539,             0.01094,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.020755,           0.0050273,                   0,             0.69623,             0.71845,             0.64543,             0.28331,             0.04846,            0.010948,                   0,            0.005248,            0.005248,            0.005248
                 146,             0.02073,           0.0050504,                   0,             0.69915,             0.67961,             0.63066,             0.28414,            0.048062,            0.010754,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.020217,           0.0049945,                   0,             0.71012,             0.67314,             0.63804,             0.28596,            0.048592,            0.011112,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.020804,           0.0050806,                   0,             0.67541,             0.69359,             0.63678,             0.29588,            0.047529,            0.010968,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.020149,           0.0049986,                   0,             0.71627,             0.67961,             0.66049,              0.3009,             0.04778,            0.010862,                   0,            0.005116,            0.005116,            0.005116
