                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2366,                0.85442,                 1.2169,                0.72757,                0.62661,                0.65706,                0.29568,                 1.9527,                  1.282,                 1.7749,               0.007096,               0.007096,               0.007096
                     90,                 1.2334,                0.87312,                 1.2293,                0.66391,                0.65281,                0.63083,                0.28667,                 1.9833,                 1.2648,                  1.865,               0.007063,               0.007063,               0.007063
                     91,                 1.2037,                0.83683,                 1.1988,                0.70462,                0.65524,                0.67928,                0.30999,                  1.944,                  1.271,                 1.8091,                0.00703,                0.00703,                0.00703
                     92,                 1.1934,                0.84665,                 1.2037,                0.77395,                0.63519,                0.71007,                0.30711,                  2.023,                 1.2647,                 1.8713,               0.006997,               0.006997,               0.006997
                     93,                 1.1847,                0.82063,                 1.2003,                0.73159,                0.67848,                0.71323,                0.32583,                 1.9532,                   1.23,                  1.854,               0.006964,               0.006964,               0.006964
                     94,                 1.1896,                0.82542,                 1.2026,                0.69164,                0.65665,                0.68339,                0.29284,                 2.0787,                 1.2731,                 1.9091,               0.006931,               0.006931,               0.006931
                     95,                  1.183,                0.81524,                 1.1781,                0.73293,                0.67382,                 0.7019,                0.31582,                 2.0012,                 1.2366,                 1.8514,               0.006898,               0.006898,               0.006898
                     96,                 1.1769,                0.81763,                 1.1933,                0.74549,                0.67885,                0.70069,                0.30492,                 2.0574,                  1.227,                 1.8628,               0.006865,               0.006865,               0.006865
                     97,                  1.174,                0.81533,                 1.1791,                0.78614,                0.63519,                0.72014,                0.33222,                 1.9418,                 1.2309,                 1.8331,               0.006832,               0.006832,               0.006832
                     98,                 1.1439,                0.79343,                  1.168,                0.75668,                0.66736,                0.69771,                0.31714,                 2.0068,                 1.2625,                 1.8816,               0.006799,               0.006799,               0.006799
                     99,                 1.1621,                0.80256,                 1.1847,                0.79059,                0.64812,                 0.7356,                0.34251,                 1.9374,                 1.1952,                 1.8359,               0.006766,               0.006766,               0.006766
                    100,                 1.1422,                0.79681,                 1.1675,                0.69156,                0.65437,                 0.6754,                0.31505,                 2.0271,                 1.2619,                 1.8995,               0.006733,               0.006733,               0.006733
                    101,                 1.1427,                0.77574,                 1.1697,                 0.7304,                0.66524,                0.61677,                0.26949,                  2.051,                 1.6993,                  1.949,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1448,                0.79291,                 1.1718,                0.71806,                0.65236,                0.67215,                0.30343,                 1.9875,                  1.223,                 1.8927,               0.006667,               0.006667,               0.006667
                    103,                  1.132,                0.77808,                 1.1517,                0.72504,                0.69034,                0.72877,                0.33026,                 1.9904,                 1.1764,                 1.8478,               0.006634,               0.006634,               0.006634
                    104,                 1.0891,                0.75038,                 1.1305,                0.67024,                0.67811,                0.67043,                0.29676,                 2.1019,                 1.2616,                 2.0098,               0.006601,               0.006601,               0.006601
                    105,                 1.1136,                0.78434,                  1.157,                0.81084,                0.67382,                0.73475,                0.30458,                 2.0578,                  1.156,                 2.0263,               0.006568,               0.006568,               0.006568
                    106,                 1.1121,                0.76804,                 1.1538,                0.74666,                 0.6704,                0.71355,                0.32856,                 1.9277,                 1.1499,                 1.8148,               0.006535,               0.006535,               0.006535
                    107,                 1.1093,                0.76549,                 1.1408,                0.77611,                0.64807,                0.67589,                0.31038,                 1.9734,                 1.2342,                 1.8281,               0.006502,               0.006502,               0.006502
                    108,                 1.0767,                0.74011,                 1.1342,                0.69607,                0.69528,                0.69005,                0.31374,                 2.0038,                 1.2424,                 1.9234,               0.006469,               0.006469,               0.006469
                    109,                 1.0776,                0.74269,                 1.1406,                 0.7528,                0.64807,                0.68308,                0.31335,                 1.9655,                 1.1576,                 1.9334,               0.006436,               0.006436,               0.006436
